Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,HTZ,0,0,0,0,1510000000.0,16930000000.0,,10.29,0.36,0.16,1.43,1.78,25.27,-2.37,4.76,1.36,-17.2,9500000000.0,113.14,9.8,1550000000.0,670000000.0,-225000000.0,-2.68,,1130000000.0,13.43,16320000000.0,1457.5,1.16,12.63,2560000000.0,-1440000000.0,2.2,17.17,16.93,2820000.0,83920000.0,35340000.0,0.81,124.74,21030000.0,10.43,38.64,20570000.0
0,0,ADM,0,0,0,0,23660000000.0,30110000000.0,13.24,11.36,-1.37,0.37,1.24,0.47,10.51,2.81,2.99,2.98,9.7,64340000000.0,114.08,-0.8,4179999999.9999995,2860000000.0,1810000000.0,3.19,-60.0,2000000000.0,3.58,8390000000.000001,44.04,1.75,33.96,-4780000000.0,1100000000.0,0.84,42.94,46.15,3780000.0,560090000.0,557740000.0,0.32,80.09,9910000.0,2.68,1.98,11240000.0
0,0,GME,0,0,0,0,1180000000.0,1550000000.0,,5.63,-0.12,0.13,0.76,0.17,2.56,-6.45,5.09,5.76,-30.48,9170000000.0,90.01,4.8,3040000000.0,602900000.0,-591200000.0,-5.81,,454500000.0,4.46,820000000.0,52.39,1.1,15.34,272800000.0,169990000.0,0.42,12.67,14.12,3470000.0,101970000.0,99740000.0,2.52,107.99,32920000.0,7.46,38.58,30290000.0
0,0,MCP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,HOG,0,0,0,0,6260000000.0,13160000000.0,12.16,10.21,1.48,1.09,3.45,2.3,12.5,9.3,14.39,4.98,29.38,5720000000.0,34.51,-6.8,2069999999.9999998,1050000000.0,531450000.00000006,3.19,-94.0,554560000.0,3.52,7600000000.0,428.38,1.25,11.24,1210000000.0,693000000.0,1.49,36.72,39.41,2220000.0,161230000.0,157310000.0,0.64,93.7,16010000.000000002,6.01,12.34,15690000.0
0,0,VALE,0,0,0,0,65680000000.00001,64090000000.0,18.22,6.63,0.97,,1.52,,,10.8,0.0,8.23,9.84,,,32.4,41270000000.0,,,0.69,-19.5,,,,45.23,1.65,8.33,,,0.65,12.67,13.7,33790000.0,5160000000.0,3020000000.0,0.07,20.39,55260000.0,0.92,,66700000.0
0,0,JCP,0,0,0,0,529870000.0,4219999999.9999995,,-3.36,0.08,0.04,0.45,0.35,7.32,-2.12,0.17,0.16,-20.01,12020000000.0,38.07,-6.1,4150000000.0000005,576000000.0,-255000000.0,-0.81,-70.5,333000000.0,1.05,4019999999.9999995,343.59,1.52,3.7,359000000.0,66879999.99999999,2.09,1.3188,1.4616,9620000.0,315400000.0,283270000.0,4.21,73.14,113040000.0,18.0,41.61,120060000.0
0,0,JEC,0,0,0,0,10180000000.0,12150000000.0,36.89,12.61,1.05,0.63,1.78,0.75,12.65,1.75,4.67,3.71,4.68,16280000000.000002,114.64,72.9,2830000000.0,959960000.0,261529999.99999997,1.98,5646.5,886710000.0,6.36,2670000000.0,45.75,1.58,40.98,209560000.0,103060000.0,1.41,67.12,69.24,1510000.0,139520000.0,138880000.0,0.52,89.85,5100000.0,3.36,3.6,3220000.0
0,0,MSFT,0,0,0,0,856990000000.0,814800000000.0,25.91,22.38,1.8,7.23,9.32,6.88,16.43,28.31,32.83,9.44,39.35,118460000000.0,15.41,12.3,72010000000.0,49580000000.0,33540000000.0,4.31,,127670000000.0,16.64,85480000000.0,92.79,3.12,11.99,46130000000.0,27780000000.0,1.02,107.24,107.76,34960000.0,7670000000.0,7570000000.0,1.41,74.65,39270000.0,1.32,0.52,58400000.0
0,0,STJ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
